GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710017232,220710017232,"Block Group 2, Census Tract 17.23, Orleans Parish, Louisiana",1585,354,76,61,1473,350,0,12,0,12,0,12,16,25,20,22,0,12,20,22
1500000US220710017233,220710017233,"Block Group 3, Census Tract 17.23, Orleans Parish, Louisiana",1071,405,55,52,1016,413,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017234,220710017234,"Block Group 4, Census Tract 17.23, Orleans Parish, Louisiana",1473,333,85,89,1388,339,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017241,220710017241,"Block Group 1, Census Tract 17.24, Orleans Parish, Louisiana",523,205,147,100,376,189,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017242,220710017242,"Block Group 2, Census Tract 17.24, Orleans Parish, Louisiana",1147,335,78,73,1012,321,0,12,57,87,0,12,0,12,0,12,0,12,0,12
1500000US220710017243,220710017243,"Block Group 3, Census Tract 17.24, Orleans Parish, Louisiana",1289,407,15,19,1152,402,0,12,90,133,0,12,0,12,32,36,32,36,0,12
1500000US220710017244,220710017244,"Block Group 4, Census Tract 17.24, Orleans Parish, Louisiana",1317,498,62,58,1206,479,0,12,0,12,0,12,49,79,0,12,0,12,0,12
1500000US220710017251,220710017251,"Block Group 1, Census Tract 17.25, Orleans Parish, Louisiana",1341,501,14,23,1181,477,0,12,0,12,0,12,97,148,49,60,12,21,37,57
1500000US220710017252,220710017252,"Block Group 2, Census Tract 17.25, Orleans Parish, Louisiana",1312,610,66,66,1246,611,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017253,220710017253,"Block Group 3, Census Tract 17.25, Orleans Parish, Louisiana",2114,474,11,13,2103,474,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017254,220710017254,"Block Group 4, Census Tract 17.25, Orleans Parish, Louisiana",1737,594,47,86,1537,537,0,12,0,12,0,12,153,258,0,12,0,12,0,12
1500000US220710017301,220710017301,"Block Group 1, Census Tract 17.30, Orleans Parish, Louisiana",773,152,25,33,735,145,0,12,0,12,0,12,0,12,13,21,0,12,13,21
1500000US220710017341,220710017341,"Block Group 1, Census Tract 17.34, Orleans Parish, Louisiana",677,218,554,199,0,12,8,12,52,45,0,12,13,21,50,42,0,12,50,42
1500000US220710017351,220710017351,"Block Group 1, Census Tract 17.35, Orleans Parish, Louisiana",1128,242,2,4,1116,241,0,12,0,12,0,12,0,12,10,17,10,17,0,12
1500000US220710017352,220710017352,"Block Group 2, Census Tract 17.35, Orleans Parish, Louisiana",768,203,57,91,711,203,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017361,220710017361,"Block Group 1, Census Tract 17.36, Orleans Parish, Louisiana",444,238,6,13,427,240,0,12,0,12,0,12,11,20,0,12,0,12,0,12
1500000US220710017362,220710017362,"Block Group 2, Census Tract 17.36, Orleans Parish, Louisiana",1181,310,81,103,1086,274,0,12,14,22,0,12,0,12,0,12,0,12,0,12
1500000US220710017371,220710017371,"Block Group 1, Census Tract 17.37, Orleans Parish, Louisiana",1479,347,51,68,1423,339,0,12,5,8,0,12,0,12,0,12,0,12,0,12
1500000US220710017372,220710017372,"Block Group 2, Census Tract 17.37, Orleans Parish, Louisiana",749,270,39,39,710,273,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017373,220710017373,"Block Group 3, Census Tract 17.37, Orleans Parish, Louisiana",600,163,95,50,496,163,9,13,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017391,220710017391,"Block Group 1, Census Tract 17.39, Orleans Parish, Louisiana",951,184,12,19,939,184,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017392,220710017392,"Block Group 2, Census Tract 17.39, Orleans Parish, Louisiana",605,204,0,12,605,204,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017401,220710017401,"Block Group 1, Census Tract 17.40, Orleans Parish, Louisiana",1544,381,5,10,1374,351,0,12,0,12,0,12,149,226,16,28,0,12,16,28
1500000US220710017402,220710017402,"Block Group 2, Census Tract 17.40, Orleans Parish, Louisiana",1409,297,0,12,1349,300,0,12,24,32,0,12,34,36,2,25,2,25,0,12
1500000US220710017403,220710017403,"Block Group 3, Census Tract 17.40, Orleans Parish, Louisiana",1568,408,58,54,1396,344,0,12,0,12,0,12,0,12,114,158,0,12,114,158
1500000US220710017411,220710017411,"Block Group 1, Census Tract 17.41, Orleans Parish, Louisiana",1489,142,49,44,875,133,0,12,546,124,0,12,0,12,19,27,0,12,19,27
1500000US220710017431,220710017431,"Block Group 1, Census Tract 17.43, Orleans Parish, Louisiana",1119,270,20,33,1084,279,0,12,0,12,0,12,0,12,15,22,0,12,15,22
1500000US220710017432,220710017432,"Block Group 2, Census Tract 17.43, Orleans Parish, Louisiana",949,347,21,28,916,342,0,12,0,12,0,12,12,25,0,12,0,12,0,12
1500000US220710017441,220710017441,"Block Group 1, Census Tract 17.44, Orleans Parish, Louisiana",903,286,29,48,841,278,0,12,0,12,0,12,0,12,33,44,22,42,11,19
1500000US220710017442,220710017442,"Block Group 2, Census Tract 17.44, Orleans Parish, Louisiana",1712,491,0,12,1712,491,0,12,0,12,0,12,0,12,0,12,0,12,0,12
